INFO  2025-03-27T22:30:45.900 [] org.hibernate.validator.internal.util.Version                              :21   | HV000001: Hibernate Validator 8.0.1.Final
INFO  2025-03-27T22:44:48.498 [] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:252  | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
INFO  2025-03-27T22:44:48.499 [] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:252  | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
INFO  2025-03-27T22:44:49.364 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :295  | Multiple Spring Data modules found, entering strict repository configuration mode
INFO  2025-03-27T22:44:49.365 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :143  | Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
INFO  2025-03-27T22:44:49.373 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :211  | Finished Spring Data repository scanning in 4 ms. Found 0 Elasticsearch repository interfaces.
INFO  2025-03-27T22:44:49.728 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :295  | Multiple Spring Data modules found, entering strict repository configuration mode
INFO  2025-03-27T22:44:49.729 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :143  | Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
INFO  2025-03-27T22:44:49.785 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ADSSubscriptionRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:44:49.789 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.AdvertisementRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:44:49.792 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.CategoryRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:44:49.795 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.CommentRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:44:49.798 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.FavoriteRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
INFO  2025-03-27T22:44:49.800 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.HistoryPaymentRepository; If you want this repository to be a Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ElasticsearchRepository
